,precision,recall,f1-score,support
0,0.8902045209903121,0.7990338164251207,0.8421588594704684,1035.0
1,0.5666666666666667,0.7272727272727273,0.6370023419203747,374.0
accuracy,0.7799858055358411,0.7799858055358411,0.7799858055358411,0.7799858055358411
macro avg,0.7284355938284894,0.763153271848924,0.7395806006954215,1409.0
weighted avg,0.80432577186537,0.7799858055358411,0.7877028356495067,1409.0
